city_id,date_updated,lat,lon,city_name,date,humidity,wind_sp,cloudiness,prob_preci,uv_index,day_temp,day_temp_feels,rain
129118,2022-01-02,42.52505,3.0831554,Collioure,1641207600,55,3.95,100,0,1.26,16.23,15.34,0
129118,2022-01-02,42.52505,3.0831554,Collioure,1641294000,72,9.65,100,0.06,1.27,13.51,12.8,0
129118,2022-01-02,42.52505,3.0831554,Collioure,1641380400,75,17.26,87,0.99,1.12,8.74,3.6,2.94
129118,2022-01-02,42.52505,3.0831554,Collioure,1641466800,50,17.8,1,0,1.28,8.2,2.82,0
129118,2022-01-02,42.52505,3.0831554,Collioure,1641553200,32,6.04,100,0.03,2,9.58,8.16,0
129118,2022-01-02,42.52505,3.0831554,Collioure,1641639600,52,14.12,3,0.06,2,10.28,8.72,0
129118,2022-01-02,42.52505,3.0831554,Collioure,1641726000,59,11.41,100,0.46,2,13.35,12.28,0.28
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641207600,70,2.94,97,0,1.22,13.6,12.84,0
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641294000,68,7.44,85,0.8,1.24,12.95,12.08,2.35
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641380400,95,11.14,98,1,1.08,5,-0.69,8.76
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641466800,70,10.48,76,0.2,1.28,5.09,-0.01,0
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641553200,56,4.77,100,0.65,2,6.21,3.04,1.37
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641639600,74,8.12,81,0.75,2,7.47,3.35,1.86
126816,2022-01-02,43.2130358,2.3491069,Carcassonne,1641726000,75,12.78,98,0.99,2,10.22,9.26,12.33
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641207600,65,2.53,99,0,1.34,8.51,8.51,0
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641294000,53,3.28,51,0.99,1.4,11.8,10.42,11.12
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641380400,98,5.69,100,1,0.2,-2.37,-8.29,7.89
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641466800,74,2.72,34,0.51,1.38,-1.95,-5.08,0
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641556800,65,2.61,100,0.81,2,0.71,-1.15,0
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641643200,78,2.71,66,0.96,2,0.55,-2.17,0
281653603,2022-01-02,42.9455368,1.4065544156065486,Ariege,1641729600,97,3.91,99,0.99,2,1.16,-1.71,13.15
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641207600,77,2.83,97,0,1.2,11.73,10.97,0
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641294000,59,5.84,45,1,1.34,13.73,12.7,6.47
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641380400,84,10.66,99,1,0.94,4.09,-1.64,7.42
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641466800,65,5.7,10,0.12,1.26,5.11,1.16,0
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641556800,53,3.13,100,1,2,5.67,4.31,3.28
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641643200,67,6.12,68,1,2,8.3,5.7,1.63
121019,2022-01-02,43.6044622,1.4442469,Toulouse,1641729600,73,10.46,100,1,2,10.07,9.04,9.98
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641207600,81,3.07,100,0,1.16,11.39,10.7,0
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641294000,60,6.25,18,1,1.29,13.96,12.98,4.94
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641380400,74,9.68,100,1,0.99,4.54,-0.88,7.74
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641470400,69,5.38,10,0,1.23,5.04,1.21,0
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641556800,63,1.79,99,1,2,5.32,4.16,2.22
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641643200,78,5.64,68,0.8,2,6.77,4.51,0.14
26251971,2022-01-02,44.0175835,1.3549991,Montauban,1641729600,74,11.22,100,1,2,9.93,6.75,6.59
15759375,2022-01-02,43.4832523,-1.5592776,Biarritz,1641211200,72,3.97,100,0,1.32,14.92,14.35,0
